공간정보일련번호,관리번호,종류,등급,명칭,상태,도엽명,계획기관,표지상황,위치,위치_비고,측량연도,고시일자,고시번호,기준타원체,종축(x)좌표,횡축(y)좌표,정표고(h),직각좌표계원점
1164,20640,공공기준점,4급,NO37,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO36에서 동쪽 약 70M지점 사거리 화단 끝 ASP에 위치  ,2010,2010-04-08,2010-258,GRS80,278631.7414,189315.5637,3.058,동부
1165,20641,공공기준점,4급,NO38,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO37에서 동쪽 약 150M지점 사거리 인도 커브지점 앞 ASP에 위치 ,2010,2010-04-08,2010-258,GRS80,278643.4192,189650.6346,2.7115,동부
1166,20642,공공기준점,4급,NO39,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구대 산업단지 동성중공업 들어가는 입구 삼거리 횡단보도  옆 경계석 밑에 위치함 ,2010,2010-04-08,2010-258,GRS80,278629.9193,189779.6105,2.4942,동부
1167,20643,공공기준점,4급,NO40,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 국내기업단지(예정)앞 삼거리 경계석 밑 측구에 위치  ,2010,2010-04-08,2010-258,GRS80,278509.4574,188888.4846,2.812,동부
1168,20644,공공기준점,4급,NO41,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO40에서 동쪽 약 200M지점 사거리 횡단보도 시작지점 에 위치 ,2010,2010-04-08,2010-258,GRS80,278514.7256,189321.8848,2.8453,동부
1169,20645,공공기준점,4급,NO42,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO41에서 약 150M지점 삼거리 경계석 밑 측구에 위치  ,2010,2010-04-08,2010-258,GRS80,278508.0807,189644.4188,2.713,동부
1170,20646,공공기준점,4급,NO43,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO39에서 남쪽방향 약 70M지점 경계석 밑 측구에 위치  ,2010,2010-04-08,2010-258,GRS80,278427.463,189736.1798,2.9436,동부
1171,20647,공공기준점,4급,NO44,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,한전 SW박스 앞 삼거리 화단 경계석 앞에 위치  ,2010,2010-04-08,2010-259,GRS80,278396.5642,188586.1052,2.6697,동부
1172,20648,공공기준점,4급,NO45,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,한전 SW박스(화전 3공구 25) 옆 사거리 횡단보도 시작지점 측구에 위치  ,2010,2010-04-08,2010-259,GRS80,278382.754,188911.5505,2.611,동부
1173,20649,공공기준점,4급,NO46,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 NO45에서 동쪽 약 80M지점 삼거리 횡단보도 시작지점에 위치  ,2010,2010-04-08,2010-259,GRS80,278399.3185,189100.5596,2.6481,동부
1174,20650,공공기준점,4급,NO47,양호,김해,한국전력공사,동판,부산광역시 강서구 녹산동,화전지구 내 NO46에서 동쪽 약 70M지점 사거리 횡단보도 시작지점에  위치 ,2010,2010-04-08,2010-259,GRS80,278390.0604,189322.3936,2.558,동부
