공간정보일련번호,지형지물부호,등록구,관리기관,명칭,구경,형식,제작회사,최대유량,설치일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
"11,848",유량계,기장군,시설관리사업소,장안가압장 유입,400,전자식,리테크,0,2019-05-20,정관지구저지배수지,양호,-,-,가압장
"11,857",유량계,사하구,시설관리사업소,성화원BP 유출,300,전자식,리테크,0,2019-05-20,성화원부스터,양호,-,-,펌프장
129,유량계,수영구,남부사업소,제 5블록 유량계,200,전자식,서용엔지니어링,0,2019-05-17,망미배수지,양호,-,수영구,블록
184,유량계,남구,남부사업소,제36블록 유량계,300,초음파식,씨엠엔텍,0,2019-05-17,덕천가압장(시내),양호,-,남구,블록
41,유량계,동구,중동부사업소,3블록유량계,400,전자식,서용엔지니어링,1181,2019-05-16,개금1배수지,양호,상수맨홀,동구,블록
406,유량계,기장군,기장사업소,18블록 유량계,100,전자식,서용엔지니어링,297981.56,2019-05-13,봉대산배수지,양호,-,기장군,블록
291,유량계,동구,중동부사업소,9블록유량계,200,전자식,(주)서용엔지니어링,0,2019-05-09,개금1배수지,양호,-,동구,블록
107,유량계,금정구,시설관리사업소,명장협진2,400,초음파식,대덕기술,0,2019-05-07,덕천가압장(시내),양호,-,금정구,권역
276,유량계,사상구,시설관리사업소,주례1,1500,초음파식,대덕,0,2019-05-07,사상가압장(신설),양호,-,사상구,권역
112,유량계,사상구,북부사업소,34블록 유량계,200,전자식,서용엔지니어링,285038.25,2019-05-02,덕산정수장(생활직송),양호,상수맨홀,사상구,블록
267,유량계,사상구,북부사업소,45블록 유량계,200,전자식,서용,0,2019-05-02,덕산정수장(생활직송),양호,상수맨홀,사상구,블록
216,유량계,북구,북부사업소,7-3블록 유량계,100,전자식,서용엔지니어링,9.7,2019-05-02,덕산정수장(생활직송),양호,-,북구,블록
351,유량계,사상구,북부사업소,22블록 유량계,200,전자식,서용엔지니어링,0,2019-05-02,덕산정수장(생활직송),양호,상수맨홀,사상구,블록
652,유량계,사상구,북부사업소,45-1블록 유량계,200,전자식,동영,0,2019-05-02,덕산정수장(생활직송),양호,-,사상구,블록
692,유량계,사상구,시설관리사업소,개금1,1100,초음파식,대덕,0,2019-05-01,-,-,-,-,권역
532,유량계,사상구,시설관리사업소,사상양수1,2200,초음파식,대덕,0,2019-05-01,덕산정수장(생활직송),양호,-,사상구,권역
182,유량계,동구,중동부사업소,7블록유량계,200,전자식,(주)서용엔지니어링,0,2019-04-18,개금1배수지,양호,-,동구,블록
356,유량계,동구,중동부사업소,12-1블록 유량계,150,전자식,(주)서용엔지니어링,0,2019-04-08,수정산터널배수지,양호,-,동구,블록
685,유량계,남구,남부사업소,제46블록 유량계,300,초음파식,씨엠엔텍,279327.29,2019-04-03,덕천가압장(시내),양호,-,남구,블록
489,유량계,해운대구,해운대사업소,반송2동 제3블록 유량계,150,전자식,(주)서용엔지니어링,0,2019-04-01,명장정수장(가압),양호,상수맨홀,해운대구,블록
490,유량계,해운대구,해운대사업소,반송2동 제2블록 유량계,200,전자식,(주)서용엔지니어링,0,2019-04-01,명장정수장(가압),양호,상수맨홀,해운대구,블록
605,유량계,해운대구,해운대사업소,반송1동 제6블록 유량계,150,전자식,(주)서용엔지니어링,0,2019-04-01,반송배수지,양호,상수맨홀,해운대구,블록
695,유량계,북구,시설관리사업소,덕천양수1,600,초음파식,대덕하이테크,290739.82,2019-03-22,덕천가압장(시내),-,상수맨홀,북구,권역
457,유량계,사하구,사하사업소,12블록 유량계,200,전자식,서용엔지니어링,0,2019-03-19,대티2배수지,양호,-,사하구,블록
146,유량계,사하구,사하사업소,28블록 유량계설치,100,전자식,(주)서용엔지니어링,0,2019-03-14,덕산정수장(생활직송),양호,-,사하구,블록
459,유량계,사하구,사하사업소,11-1블록 유량계,200,전자식,(주)서용엔지니어링,0,2019-03-14,괴정1가압장,양호,-,사하구,블록
43,유량계,사하구,사하사업소,9블록 유량계,150,전자식,서용엔지니어링,275,2019-03-13,덕산정수장(생활직송),양호,상수맨홀,사하구,블록
