공간정보일련번호,지형지물부호,등록구,관리기관,명칭,구경,형식,제작회사,최대유량,설치일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
90,유량계,수영구,남부사업소,제19블록 유량계,300,초음파식,씨엠텍,0,2020-05-20,덕천가압장(시내),양호,-,수영구,블록
181,유량계,남구,남부사업소,제32블록 유량계,200,전자식,서용엔지니어링,0,2020-05-20,덕천가압장(시내),양호,-,남구,블록
189,유량계,수영구,남부사업소,제 2블록유량계,250,초음파식,씨엠엔텍,0,2020-05-20,덕천가압장(시내),양호,-,수영구,블록
191,유량계,남구,남부사업소,제31블록 유량계,250,초음파식,씨엠텍,0,2020-05-20,덕천가압장(시내),양호,-,남구,블록
320,유량계,수영구,남부사업소,제 1블록 유량계,200,전자식,서용엔지니어링,0,2020-05-20,망미가압장,양호,-,수영구,블록
378,유량계,북구,북부사업소,14-2블록 유량계,250,초음파식,씨엠엔텍,290663.3,2020-05-20,덕천가압장(오륜),양호,상수맨홀,북구,블록
439,유량계,사상구,북부사업소,22-2블록 유량계,200,전자식,(주)서용엔지니어링,0,2020-05-20,사상가압장(신설),양호,상수맨홀,사상구,블록
581,유량계,북구,북부사업소,2블록 유량계,300,초음파식,씨엠엔텍,0,2020-05-20,금곡배수지,양호,-,북구,블록
599,유량계,북구,북부사업소,52블록 유량계,400,초음파식,씨엠엔텍,870,2020-05-20,금곡배수지,양호,상수맨홀,북구,블록
274,유량계,서구,서부사업소,8-1블록 유량계,100,전자식,서용,279994.26,2020-05-15,수정산터널배수지,양호,-,서구,블록
"14,401",유량계,남구,남부사업소,25.27통합,300,전자식,서용엔지니어링,0,2020-05-13,문현배수지,양호,-,-,-
227,유량계,사하구,사하사업소,35블럭 유량계,250,초음파식,(주)씨엠엔텍,0,2020-04-28,장림배수지,양호,상수맨홀,사하구,블록
357,유량계,기장군,기장사업소,1블록 유량계,150,전자식,서용,302021.24,2020-04-23,봉대산배수지,양호,상수맨홀,기장군,블록
656,유량계,기장군,기장사업소,16-1블록 유량계,250,전자식,서용엔지니어링,0,2020-04-23,장안배수지,양호,상수맨홀,기장군,블록
568,유량계,기장군,기장사업소,11블록 유량계,300,전자식,서용엔지니어링,12,2020-04-23,좌동2배수지,양호,상수맨홀,기장군,블록
587,유량계,기장군,기장사업소,9블록 유량계,200,전자식,서용,303661.61,2020-04-23,월내배수지,양호,-,기장군,블록
178,유량계,부산진구,부산진사업소,33블록 유량계,300,초음파식,자인테크놀로지(주),0,2020-04-09,개금1배수지,양호,-,부산진구,블록
462,유량계,부산진구,부산진사업소,4-1블록 유량계,200,전자식,서용엔지니어링,285432.81,2020-04-09,당감배수지,양호,-,부산진구,블록
679,유량계,부산진구,부산진사업소,3블록 유량계,250,전자식,(주)서용엔지니어링,284704.97,2020-04-09,사상가압장(신설),양호,-,부산진구,블록
666,유량계,부산진구,부산진사업소,6블록 유량계,250,전자식,(주)서용엔지니어링,0,2020-04-09,당감배수지,양호,-,부산진구,블록
268,유량계,부산진구,부산진사업소,2블록 구역유량계,250,전자식,(주)서용엔지니어링,284675.97,2020-04-09,신당감가압장,양호,-,부산진구,블록
81,유량계,동구,중동부사업소,2블록유량계,150,전자식,(주)서용엔지니어링,0,2020-04-08,영주배수지,양호,-,동구,블록
31,유량계,서구,시설관리사업소,송도,500,초음파식,대덕,276070.26,2020-03-23,감천배수지,양호,-,-,권역
6,유량계,강서구,시설관리사업소,진해,600,초음파식,대덕,0,2020-03-23,녹산생활배수지,양호,상수맨홀,강서구,권역
22,유량계,금정구,시설관리사업소,온천입구1,500,초음파식,대덕,291257.92,2020-03-23,덕천가압장(시내),양호,상수맨홀,금정구,권역
309,유량계,해운대구,해운대사업소,반여1동 제12블록 유량계,250,전자식,(주)서용엔지니어링,0,2020-03-20,명장정수장(가압),양호,상수맨홀,해운대구,블록
314,유량계,해운대구,해운대사업소,반여3동 제14블록 유량계,250,전자식,(주)서용엔지니어링,0,2020-03-20,반여2배수지,양호,상수맨홀,해운대구,블록
275,유량계,동래구,해운대사업소,반여4동 제10블록 유량계,300,전자식,(주)서용엔지니어링,0,2020-03-20,명장배수지,양호,-,해운대구,블록
312,유량계,해운대구,해운대사업소,재송2동 제17블록 유량계,250,전자식,(주)서용엔지니어링,0,2020-03-20,반여2배수지1부스터,양호,상수맨홀,해운대구,블록
527,유량계,북구,시설관리사업소,덕천양수2,2000,초음파식,대덕,0,2020-03-18,덕천가압장(시내),양호,-,-,권역
8,유량계,강서구,시설관리사업소,명지IC,1000,초음파식,대덕,0,2020-03-16,덕산정수장(공업직송),양호,상수맨홀,강서구,권역
463,유량계,기장군,시설관리사업소,고촌,500,초음파식,대덕,0,2020-03-16,명장정수장(가압),양호,-,기장군,권역
102,유량계,영도구,영도사업소,14블록유량계,150,전자식,서용,277390.49,2020-03-12,청학배수지,양호,상수맨홀,영도구,블록
308,유량계,영도구,영도사업소,제22블록 유량계,200,전자식,서용엔지니어링,0,2020-03-12,해돋이배수지,양호,상수맨홀,영도구,블록
381,유량계,영도구,영도사업소,제22-1블록 유량계,200,전자식,서용,275460.44,2020-03-12,해돋이배수지,양호,상수맨홀,영도구,블록
528,유량계,북구,시설관리사업소,덕천양수3,1800,초음파식,대덕하이테크,290722.58,2020-03-12,덕천가압장(오륜),양호,상수맨홀,북구,권역
348,유량계,사하구,사하사업소,15 블록유량계,150,전자식,(주)서용엔지니어링,0,2020-02-26,덕산정수장(생활직송),양호,-,사하구,블록
