공간정보일련번호,지형지물부호,등록구,관리기관,행정동,허가번호,설치위치,방향,차도폭,길어깨(보도)의폭,높이,색상,도로구간번호,가로표지판규격,세로표지판규격,물건종류,허가구분
2,사설안내표지판,강서구,강서구,가락동,,,,21,4,0,,외부순환도로,,,,
3,사설안내표지판,강서구,강서구,명지동,,,,80,0,0,,,,,,
5,사설안내표지판,강서구,강서구,명지동,,,,46,3,0,,외부순환도로,,,,
6,사설안내표지판,강서구,강서구,명지동,,,,43,3,0,,외부순환도로,,,,
7,사설안내표지판,부산진구,,전포1동,부산진구1038,전포동 황령산레포츠 공원입구,공원입구에서 레포츠공원 방면,14,,4,흰(미)색바탕 갈색(계열)글자,진남로,1200,550,관광시설,허가
8,사설안내표지판,부산진구,,전포3동,부산진구1045,전포3동 성북초교옆 승우산업 앞,성북초교앞에서 이마트문현점 방면,34,4,4,흰(미)색바탕 검정(계열)글자,동성로,1200,550,의료시설,허가
9,사설안내표지판,연제구,,,,,,,,,,,,,,
10,사설안내표지판,연제구,,,,,,,,,,,,,,
12,사설안내표지판,기장군,기장군 건설과,철마면,2006103,기장군 철마면 연구리 543,,9,0,,,철마로,1500,850,,허가
13,사설안내표지판,부산진구,,당감2동,부산진구116,부산시 진구 당감동 8591번지,,19,,,기타,제2도시고속도로(동서고가로),1500,850,국가기관및기초자치단체(구군청),허가
14,사설안내표지판,사상구,,엄궁동,,,,,,,,대동로,,,,허가
15,사설안내표지판,부산진구,,전포1동,부산진구0925,부산진여중 옆,부산진여중에서 구)대우자동차 방면,11,1,4,흰(미)색바탕 남색글자,동성로,1200,550,기타,허가
16,사설안내표지판,수영구,수영구 도시국 도시관리과,남천2동,수영구201003호,부산광역시 수영구 남천동 51711(도),남천동로 방향,12,,,흰(미)색바탕 남색글자,남천역9길,1200,550,,허가
17,사설안내표지판,수영구,수영구 도시국 도시관리과,광안1동,수영구201007호,부산광역시 수영구 광안3동 1173,무학로 방향,,,,흰(미)색바탕 갈색(계열)글자,"수영로, 자성로",1200,550,,허가
18,사설안내표지판,수영구,수영구 도시국 도시관리과,수영동,수영구201233호,부산광역시 수영구 수영로 731,수영로 해운대방향,21,5,,기타,"수영로, 자성로",1200,550,,허가
19,사설안내표지판,수영구,수영구 도시국 도시관리과,민락동,수영구201211호,부산광역시 수영구 광안해변로 418 민락푸르지오 ,광안해변로방향,20,,,기타,수변공원길,1200,550,,허가
20,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구201219호,부산광역시 수영구 수영로 405,수영로 대남로타리방향,21,2,,기타,"수영로, 자성로",1200,550,,허가
21,사설안내표지판,부산진구,,전포1동,부산진구0929,황령산 레포츠공원 입구,레포츠공원 입구에서 레포츠공원 방면,9,,3,흰(미)색바탕 갈색(계열)글자,진남로,1200,550,관광시설,허가
22,사설안내표지판,부산진구,,부암3동,부산진구110,부산시 진구 부암3동 6251번지 앞,,5,,,,백양산4로,1400,1000,교육기관(학교 등),허가
23,사설안내표지판,남구,남구 도시국 도시관리과,문현3동,남구20069,전포로 삼성힐타워아파트 앞,문현교차로에서 문전역 방향,42,4,,흰(미)색바탕 청색글자,"충장로, 전포로,거제로",800,400,공동주택,허가
24,사설안내표지판,금정구,,장전2동,,,,7,4,0,,식물원길,,,,
25,사설안내표지판,사상구,,엄궁동,사상구20027,엄궁동 530번지 선도,,25,5,5,흰(미)색바탕 청색글자,"대영로, 낙동로,금곡로",1500,850,기타,허가
26,사설안내표지판,사상구,,모라1동,사상구20023,모라동 135810번지 선도(유성당금방 앞),,20,5,6,흰(미)색바탕 청색글자,,1100,550,종교시설,허가
48,사설안내표지판,사상구,,감전동,사상구200611,감전동 50619,,25,5,6,흰(미)색바탕 청색글자,"대영로, 낙동로,금곡로",1200,650,기타,허가
49,사설안내표지판,중구,,보수동,중구 2004200639,중구 보수동 1가 41162,,10,1,,흰(미)색바탕 청색글자,망양로,800,600,종교시설,허가
50,사설안내표지판,수영구,수영구 도시국 도시관리과,광안4동,수영구201214호,부산광역시 수영구 수영로 567,수영로 방향,21,5,,기타,"수영로, 자성로",1200,550,,허가
51,사설안내표지판,수영구,수영구 도시국 도시관리과,광안2동,수영구201222호,부산광역시 수영구 남천바다로9번길 5,수영로 방향,21,5,,기타,"수영로, 자성로",1200,550,,허가
52,사설안내표지판,수영구,수영구 도시국 도시관리과,대연3동,수영구201205호,부산광역시 수영구 황령대로429길 건너편,황령터널방향,29,3,,갈색바탕 흰색글자,황령로,1800,825,,허가
53,사설안내표지판,수영구,수영구 도시국 도시관리과,광안4동,수영구201234호,부산광역시 수영구 수영로 595,수영로방향,,,,기타,"수영로, 자성로",1500,850,,허가
54,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구201226호,부산광역시 수영구 수영로 465,수영로방향,21,5,,기타,,1200,550,,허가
55,사설안내표지판,수영구,수영구 도시국 도시관리과,광안4동,수영구201208호,부산광역시 수영구 수영로 567,수영로방향,21,5,,기타,"수영로, 자성로",1200,550,,허가
56,사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구201230호,부산광역시 수영구 연수로 256,연수로방향,25,,,기타,"신암로, 동평로, 연산로",1200,550,,허가
57,사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구201221호,부산광역시 수영구 연수로 264,연수로방향,25,,,기타,"신암로, 동평로, 연산로",1200,550,,허가
58,사설안내표지판,수영구,수영구 도시국 도시관리과,광안4동,수영구201228호,부산광역시 수영구 수영로 591,수영로방향,,,,기타,"수영로, 자성로",1200,550,,허가
59,사설안내표지판,수영구,수영구 도시국 도시관리과,망미2동,수영구201220호,부산광역시 수영구 과정로 56,과정로방향,20,3,,기타,과정로,1200,550,,허가
60,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구201223호,부산광역시 수영구 수영로 425,수영로방향,21,5,,기타,,1200,550,,허가
61,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구201225호,부산광역시 수영구 수영로 465,수영로 방향,21,5,,기타,,1200,550,,허가
62,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구201231호,부산광역시 수영구 남천동로 22,,13,,,기타,남천역9길,1200,550,,허가
63,사설안내표지판,수영구,수영구 도시국 도시관리과,광안4동,수영구201207호,부산광역시 수영구 수영로 567,수영로방향,21,5,,기타,"수영로, 자성로",1200,550,,허가
64,사설안내표지판,수영구,수영구 도시국 도시관리과,민락동,수영구201203호,부산광역시 수영구 감포로 581,감포로방향,10,3,,기타,감포로,1200,550,,허가
65,사설안내표지판,수영구,수영구 도시국 도시관리과,광안3동,수영구201204호,부산광역시 수영구 수영로 7221,수영로 해운대방향,21,5,,갈색바탕 흰색글자,"수영로, 자성로",1800,825,,허가
66,사설안내표지판,수영구,수영구 도시국 도시관리과,민락동,수영구201206호,부산광역시 수영구 광남로 211,광남로방향,15,3,,기타,"광남로, 해운대해변로",1200,550,,허가
67,사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구201209호,부산광역시 수영구 망미로 4,연수로방향,25,2,,기타,"신암로, 동평로, 연산로",1200,550,,허가
68,사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구201224호,부산광역시 수영구 연수로 2731,연수로방향,25,,,기타,"신암로, 동평로, 연산로",1200,550,,허가
69,사설안내표지판,수영구,수영구 도시국 도시관리과,민락동,수영구201227호,부산광역시 수영구 광남로 176,광남로 동방오거리방향,15,3,,기타,"광남로, 해운대해변로",1200,550,,허가
70,사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구201229호,부산광역시 수영구 연수로 314,연수로방향,25,2,,기타,"신암로, 동평로, 연산로",1200,550,,허가
71,사설안내표지판,사상구,,엄궁동,사상구20054,엄궁동 1554번지 앞 도로,,25,2,6,흰(미)색바탕 녹색(계열)글자,"대영로, 낙동로,금곡로",1500,800,공동주택,허가
72,사설안내표지판,사상구,,덕포1동,사상구200513,덕포동 430(6921번지 앞 도로),,15,2,7,흰(미)색바탕 청색글자,사상로,1200,650,종교시설,허가
73,사설안내표지판,서구,서구 도시국 재난안전과,서대신4동,200749,서대신동3가 449(구덕터널앞),구덕터널에서 구덕운동장방향,7,,,흰(미)색바탕 청색글자,"보수로, 구청로",1800,1000,의료시설,허가
74,사설안내표지판,남구,남구 도시국 도시관리과,용당동,남구200235,동명오거리 근처 해군아파트 진입로 입구,동명오거리에서 부경대학교 방향,27,4,,흰(미)색바탕 청색글자,내부순환도로,800,400,공동주택,허가
75,사설안내표지판,부산진구,,부전2동,부산진구672,부전1동 48537번지,,41,4,,흰(미)색바탕 청색글자,가야로,1500,850,기타,허가
76,사설안내표지판,남구,남구 도시국 도시관리과,감만1동,남구200552,감만동 솔개다리 근처,유창그린2차아파트에서 솔개다리 방향,15,,,기타,장군길,800,400,공동주택,허가
77,사설안내표지판,남구,남구 도시국 도시관리과,용호1동,남구200624,용호어귀삼거리 엘지마트로시티 진입로,이기대어귀삼거리에서 용호교 방향,31,4,,흰(미)색바탕 청색글자,"용호로, 신선대길",800,400,공동주택,허가
78,사설안내표지판,남구,남구 도시국 도시관리과,용호3동,남구200526,용호동 동명로 경동아파트 진입로,용호사거리에서 경동아파트 방향,8,0,,기타,동명로,800,600,기타,허가
79,사설안내표지판,남구,남구 도시국 도시관리과,문현1동,남구200569,진남로 소라길 입구,문현동 산복도로에서 대연동 SK뷰아파트 방향,12,,,흰(미)색바탕 청색글자,진남로,800,400,공동주택,허가
80,사설안내표지판,남구,남구 도시국 도시관리과,우암동,남구200428,유엔로 우암동 중앙하이츠 입구,우암삼거리에서 유엔교차로 방향,14,3,,기타,유엔로,1000,700,공동주택,허가
81,사설안내표지판,남구,남구 도시국 도시관리과,대연4동,남구200432,석포로 석포초등학교 진입로 ,부산외국어대학교삼거리에서 유엔교차로 방향,26,,,흰(미)색바탕 청색글자,,800,400,교육기관(학교 등),허가
82,사설안내표지판,남구,남구 도시국 도시관리과,감만2동,남구200612,감만동 홈플러스 앞,8부두삼거리에서 감만삼거리 방향,22,2,,기타,우암로,1200,650,국가기관및기초자치단체(구군청),허가
83,사설안내표지판,서구,서구 도시국 재난안전과,서대신3동,200734,서대신동3가 2391(엘지텔레콤앞),서대신로타리에서 구덕운동장방향,,,,기타,망양로,,,국가기관및기초자치단체(구군청),허가
84,사설안내표지판,서구,서구 도시국 재난안전과,동대신1동,###############################################################################################################################################################################################################################################################,동대신동1가 881((미쉐린타이어 앞),대영로터리에서 보수동방향,5,,,갈색바탕 흰색글자,"보수로, 구청로",1500,850,국가기관및기초자치단체(구군청),허가
85,사설안내표지판,서구,서구 도시국 재난안전과,동대신3동,2007116,동대신동3가 136(동아대병원입구),동아대병원입구에서 동아대방향,17,,5,흰(미)색바탕 녹색(계열)글자,,1200,550,의료시설,허가
86,사설안내표지판,남구,남구 도시국 도시관리과,문현2동,남구200568,전포로 지겟골역 2번출구 근처,문현교차로에서 전포동 방향,42,4,,기타,제2도시고속도로(동서고가로),500,300,종교시설,허가
87,사설안내표지판,해운대구,해운대구 도시건설국 도시디자인과,좌2동,200643,영남아파트 입구,,15,3,3,기타,순환로,1200,550,교육기관(학교 등),허가
88,사설안내표지판,해운대구,해운대구 도시건설국 도시디자인과,좌1동,200644,외환은행좌동지점앞 도로(상당중학교),,18,3,3,흰(미)색바탕 남색글자,순환로,1200,550,교육기관(학교 등),허가
89,사설안내표지판,해운대구,해운대구 도시건설국 도시디자인과,좌4동,200645,외환은행좌동지점앞도로:엘지아파트,,18,3,3,기타,순환로,1200,550,공동주택,허가
90,사설안내표지판,중구,,영주1동,중구 200721,중구 대창동2가 144번지,,29,6,,흰(미)색바탕 청색글자,"구덕로, 중앙로,금정로",500,350,교육기관(학교 등),허가
91,사설안내표지판,사상구,,주례2동,사상구200212,주례동 65번지 선도,,,,5,기타,,1500,850,교육기관(학교 등),허가
92,사설안내표지판,연제구,,,,,,,,,,,,,,
93,사설안내표지판,연제구,,,,,,,,,,,,,,
94,사설안내표지판,연제구,,,,,,,,,,,,,,
95,사설안내표지판,연제구,,,,,,,,,,,,,,
96,사설안내표지판,연제구,,,,,,,,,,,,,,
97,사설안내표지판,부산진구,,전포2동,부산진구0706,전포2동 5855번지,,8,,,기타,성전새싹로,1200,550,,허가
98,사설안내표지판,중구,,영주1동,중구 20111,영주동 5822 대영로 변(육교옆 가로등),,40,,5,흰(미)색바탕 갈색(계열)글자,,1200,550,종교시설,허가
99,사설안내표지판,남구,남구 도시국 도시관리과,용호1동,남구200627,용호어귀삼거리 일신님 진입로 앞,용호교에서 이기대어귀삼거리 방향,9,2,,흰(미)색바탕 검정(계열)글자,"용호로, 신선대길",1200,800,공동주택,허가
100,사설안내표지판,부산진구,,전포2동,부산진구129,전포2동사무소 입구 앞 보도,,8,,,기타,전포남북2로,400,400,공동주택,허가
101,사설안내표지판,서구,서구 도시국 재난안전과,부민동,200770,부용동2가 100(부민초등학교앞),부민초등학교에서 문화의 집 방향,10,1,,흰(미)색바탕 청색글자,부용5길,1000,700,교육기관(학교 등),허가
102,사설안내표지판,부산진구,,당감2동,부산진구629,범천4동 1068번지,,10,,,흰(미)색바탕 청색글자,마철3로,1100,550,종교시설,허가
103,사설안내표지판,남구,남구 도시국 도시관리과,용당동,남구20038101,동명오거리 동명정보고등학교 맞은편,대연고가교에서 동명오거리 방향,26,5,,흰(미)색바탕 청색글자,내부순환도로,1500,850,교육기관(학교 등),허가
104,사설안내표지판,남구,남구 도시국 도시관리과,문현1동,남구200427,진남로 문현현대아파트 입구,대연동 SK뷰아파트 앞에서 산복도로 방향 ,12,,,흰(미)색바탕 청색글자,진남로,1200,800,공동주택,허가
105,사설안내표지판,부산진구,,당감1동,부산진구122,당감1동 25294번지 앞 보도,,10,3,,흰(미)색바탕 청색글자,당감로,1000,600,교육기관(학교 등),허가
106,사설안내표지판,금정구,,온천1동,,,,0,0,0,,"미남로, 우장춘로,금샘길",,,,
107,사설안내표지판,기장군,,,,,,,,,,,,,,
108,사설안내표지판,수영구,,,,,,,,,,,,,,
109,사설안내표지판,부산진구,,연지동,부산진구684,연지동2024번지,,31,5,,기타,,1100,550,교육기관(학교 등),허가
110,사설안내표지판,수영구,수영구 도시국 도시관리과,망미2동,수영구2006,수영구 망미2동 4161,과정로,9,1,,기타,수미길,500,300,국가기관및기초자치단체(구군청),허가
111,사설안내표지판,수영구,수영구 도시국 도시관리과,망미2동,수영구2006,수영구 망미2동 41314,과정로,9,1,5,기타,수미길,900,900,국가기관및기초자치단체(구군청),허가
112,사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구200634,수영구 망미1동 8035,수영교차로 방면,25,,5,기타,"신암로, 동평로, 연산로",1500,850,교육기관(학교 등),허가
113,사설안내표지판,사상구,,덕포2동,사상구20056,덕포동 760번지 앞 도로,,27,3,6,흰(미)색바탕 청색글자,백양로,1500,900,국가기관및기초자치단체(구군청),허가
27,사설안내표지판,연제구,,연산9동,연제구200722,연산9동 47814,,17,4,5,기타,과정로,1300,1000,교육기관(학교 등),허가
28,사설안내표지판,사상구,,주례2동,사상구20021,주례동 1875번지 앞 도로,,,,6,흰(미)색바탕 청색글자,,1100,550,종교시설,허가
29,사설안내표지판,연제구,,거제1동,연제구20091239,거제1동 1501,,22,4,5,흰(미)색바탕 남색글자,"미남로, 우장춘로,금샘길",1200,850,국가기관및기초자치단체(구군청),허가
30,사설안내표지판,연제구,,연산8동,연제구2010128,연산8동 9868,,15,3,5,흰(미)색바탕 진황색(계열)글자,"고분로,연잎로",1200,550,공동주택,허가
31,사설안내표지판,연제구,,거제1동,연제구2007216,거제1동 14619,,18,5,5,기타,거제천로,1050,890,국가기관및기초자치단체(구군청),허가
32,사설안내표지판,사상구,,학장동,사상구20025,학장동 16815번지 선도(구학초등학교입구),,37,1,5,흰(미)색바탕 청색글자,"보수로, 구청로",1100,850,공동주택,허가
33,사설안내표지판,연제구,,연산1동,연제구201016,연산1동 9648,,15,3,5,흰(미)색바탕 진황색(계열)글자,"고분로,연잎로",1200,550,공동주택,허가
34,사설안내표지판,연제구,,연산3동,연제구200728,연산3동 18368,,24,,5,흰(미)색바탕 청색글자,"신암로, 동평로, 연산로",1200,800,의료시설,허가
35,사설안내표지판,사상구,,덕포2동,사상구200512,덕포동 430(2564번지 앞 도로),,19,7,4,기타,사상로,1000,650,국가기관및기초자치단체(구군청),허가
36,사설안내표지판,남구,남구 도시국 도시관리과,대연3동,남구20036302,신선로 LG메트로 맞은편 부경대학교 담 앞,46호광장에서 대연고가교 방향,32,2,,흰(미)색바탕 청색글자,내부순환도로,1500,850,국가기관및기초자치단체(구군청),허가
37,사설안내표지판,남구,남구 도시국 도시관리과,문현1동,남구200524,진남로 인각사 입구,대연동 SK뷰아파트에서 전포동 방향,12,,,갈색바탕 흰색글자,진남로,800,800,종교시설,허가
38,사설안내표지판,남구,남구 도시국 도시관리과,대연3동,남구200611,신선로 대천중학교 입구,영남제분 앞에서 평화공원 방향,26,5,,흰(미)색바탕 청색글자,내부순환도로,800,400,교육기관(학교 등),허가
39,사설안내표지판,남구,남구 도시국 도시관리과,대연3동,남구200378,황령로 미진교통 근처,대남교차로에서 황령터널 방향,7,,,기타,대동길,1500,850,종교시설,허가
40,사설안내표지판,남구,남구 도시국 도시관리과,대연3동,남구200562,황령로 동원보라아파트 맞은편,황령터널에서 대남교차로 방향,29,3,,흰(미)색바탕 청색글자,황령로,1500,850,기타,허가
41,사설안내표지판,남구,남구 도시국 도시관리과,대연3동,남구200641,수영로 대연주유소 앞,대연사거리에서 대남교차로 방향,21,5,,흰(미)색바탕 청색글자,,1400,1000,의료시설,허가
42,사설안내표지판,남구,남구 도시국 도시관리과,대연3동,남구200640,수영로 대우푸르지오 앞,대남교차로에서 대연사거리 방향,24,4,,흰(미)색바탕 청색글자,"수영로, 자성로",1400,1000,의료시설,허가
43,사설안내표지판,남구,남구 도시국 도시관리과,용당동,남구20066905,신선로 동명대학교 맞은편,대연고가교에서 동명오거리 방향,26,5,,흰(미)색바탕 청색글자,내부순환도로,4400,2400,교육기관(학교 등),허가
44,사설안내표지판,남구,남구 도시국 도시관리과,대연3동,남구200357,대연동 대우그린입구 부산은행 맞은편,대우그린아파트에서 신원아파트 방향,11,2,,흰(미)색바탕 청색글자,낙농1길,800,400,종교시설,허가
45,사설안내표지판,남구,남구 도시국 도시관리과,용당동,남구200642,신선로 평화공원 근처 쌍용정유반도주유소 맞은편,대연고가교에서 동명오거리 방향,26,5,,흰(미)색바탕 청색글자,내부순환도로,1400,1000,의료시설,허가
46,사설안내표지판,남구,남구 도시국 도시관리과,,남구20038102,신선로 부경대학교 담장 옆,49호광장에서 대연고가교 방향,32,2,,흰(미)색바탕 청색글자,내부순환도로,1500,850,교육기관(학교 등),허가
47,사설안내표지판,사상구,,엄궁동,,,,,,,,대동로,,,,허가
221,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구2006,수영구 남천1동 522,수영로방향,21,5,5,기타,,1500,850,기타,허가
222,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구2006,수영구 남천1동 181,수영로에서 광남로방향,21,2,,기타,"수영로, 자성로",800,500,국가기관및기초자치단체(구군청),허가
223,사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구2006,수영구 망미1동 8362,연산로방향,25,,2,기타,"신암로, 동평로, 연산로",600,500,교육기관(학교 등),허가
224,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구2006044,수영구 남천동 82 인근도로,광남로 방향,10,3,3,흰(미)색바탕 청색글자,,800,400,국가기관및기초자치단체(구군청),허가
225,사설안내표지판,기장군,,기장읍,200665,기장 시랑리 17015,,18,,,,,,,,허가
226,사설안내표지판,기장군,,기장읍,200675,기장 청강리 7037,22.5,8,,,,기장중앙로,,,,허가
227,사설안내표지판,수영구,수영구 도시국 도시관리과,수영동,수영구2006,수영구 수영동 4469,현대아파트 에서 수영교차로 방면,24,,3,기타,"신암로, 동평로, 연산로",600,500,국가기관및기초자치단체(구군청),허가
228,사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구2006,수영구 망미1동 7745,과정로변,25,,5,기타,"신암로, 동평로, 연산로",1500,600,국가기관및기초자치단체(구군청),허가
229,사설안내표지판,수영구,수영구 도시국 도시관리과,남천2동,수영구2006,수영구 남천동 14875,광남초등학교에서 남천동 메가마트 방향,15,3,,기타,광안해변로,600,300,국가기관및기초자치단체(구군청),허가
230,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구2006,수영구 남천1동 694,수영로 방향,21,5,3,흰(미)색바탕 녹색(계열)글자,,1000,1400,교육기관(학교 등),허가
231,사설안내표지판,사상구,,주례3동,사상구200217,주례동 116311번지 선도,,,,5,기타,,800,400,교육기관(학교 등),허가
232,사설안내표지판,동구,동구,초량3동,동구200932,초량동 LG데이콤빌딩 앞,,30,5,6,갈색바탕 흰색글자,"구덕로, 중앙로,금정로",1200,550,국가기관및기초자치단체(구군청),허가
233,사설안내표지판,금정구,,남산동,금정구0911,부산광역시 금정구 남산동 1361번지 선 도로,,25,5,,흰(미)색바탕 녹색(계열)글자,"구덕로, 중앙로,금정로",1200,550,의료시설,허가
234,사설안내표지판,사상구,,감전동,사상구200615,사상구 감전동 312,,23,5,6,흰(미)색바탕 녹색(계열)글자,백양로,1100,550,,허가
235,사설안내표지판,남구,남구 도시국 도시관리과,대연3동,남구200435,수영로 대우푸르지오 앞,대남교차로에서 경성대학교앞 방향,24,4,,갈색바탕 흰색글자,"수영로, 자성로",1500,850,기타,허가
236,사설안내표지판,사상구,,삼락동,사상구200216,삼락동 40917번지 선도,,16,2,,기타,삼덕로,1500,850,교육기관(학교 등),허가
237,사설안내표지판,사상구,,엄궁동,사상구20052,엄궁동 5271번지 앞 도로,,28,4,5,흰(미)색바탕 청색글자,"대영로, 낙동로,금곡로",1100,550,교육기관(학교 등),허가
238,사설안내표지판,사상구,,모라1동,사상구20044,모라동 1004번지 앞 도로,,15,3,5,흰(미)색바탕 청색글자,사상로,1100,550,교육기관(학교 등),허가
239,사설안내표지판,사상구,,학장동,사상구20043,학장동 257번지 앞 도로,,15,3,7,흰(미)색바탕 청색글자,가야로,1500,850,의료시설,허가
240,사설안내표지판,부산진구,,연지동,부산진구641,연지동 161번지,,13,3,,흰(미)색바탕 청색글자,새싹길,1500,850,종교시설,허가
241,사설안내표지판,부산진구,,전포1동,부산진구136,진구 전포1동 제일종합상사 앞 보도변,,10,,,기타,전포우3로,1100,550,종교시설,허가
242,사설안내표지판,사상구,,엄궁동,사상구20055,엄궁동 산10413번지 앞 도로,,25,2,6,기타,"대영로, 낙동로,금곡로",1500,800,공동주택,허가
243,사설안내표지판,영도구,,청학2동,영도구0019,부산시 영도구 청학2동 213앞 화신맨션위,청학시장에서 영도구청방향,15,3,,흰(미)색바탕 청색글자,,1200,650,기타,허가
244,사설안내표지판,영도구,,신선동,영도구0810,중복도로 산정길 입구,,12,2,6,흰(미)색바탕 청색글자,대평길,1200,550,교육기관(학교 등),허가
245,사설안내표지판,영도구,,신선동,영도구0812,남도여자중학교 앞,,10,2,,흰(미)색바탕 청색글자,남항시장길,1200,550,교육기관(학교 등),허가
246,사설안내표지판,영도구,,청학2동,영도구0809,영도구청 건너편,,15,2,6,흰(미)색바탕 청색글자,"태종로, 대교로",1200,550,교육기관(학교 등),허가
247,사설안내표지판,영도구,,신선동,영도구0813,중복도로 산정길 입구,,8,,,흰(미)색바탕 갈색(계열)글자,중복길,1200,550,종교시설,허가
248,사설안내표지판,영도구,,영선1동,영도구0811,강남의원 앞,,16,,,흰(미)색바탕 청색글자,꿈나무길,1200,550,교육기관(학교 등),허가
249,사설안내표지판,영도구,,신선동,영도구0810,중복도로 산정길 입구,,8,,6,흰(미)색바탕 청색글자,중복길,1200,550,교육기관(학교 등),허가
250,사설안내표지판,영도구,,청학2동,영도구0809,영도구청 건너편,,14,6,6,흰(미)색바탕 청색글자,대평길,1200,550,교육기관(학교 등),허가
251,사설안내표지판,영도구,,영선2동,영도구0817,이송도 삼거리 주변,,14,,6,흰(미)색바탕 검정(계열)글자,"절영로,태종로",1200,550,기타,허가
253,사설안내표지판,영도구,,남항동,영도구0820,대교동 기업은행 건너편 cspace앞,,21,3,,흰(미)색바탕 청색글자,"절영로,태종로",1200,850,국가기관및기초자치단체(구군청),허가
254,사설안내표지판,영도구,,동삼2동,영도구0819,태종대 진입로,,13,4,,기타,,1200,550,기타,허가
255,사설안내표지판,영도구,,봉래2동,영도구0824,한진중공업 정문 건너편,,36,,6,흰(미)색바탕 갈색(계열)글자,봉래쉼터길,1200,550,종교시설,허가
257,사설안내표지판,영도구,,남항동,영도구0807,,,15,3,,흰(미)색바탕 청색글자,"절영로,태종로",1200,550,교육기관(학교 등),허가
258,사설안내표지판,영도구,,남항동,영도구0815,남항동 기업은행 앞,,18,5,6,흰(미)색바탕 갈색(계열)글자,"절영로,태종로",1200,550,종교시설,허가
259,사설안내표지판,영도구,,신선동,영도구0816,중복도로 입구,,12,,,흰(미)색바탕 검정(계열)글자,하나길,1200,550,기타,허가
260,사설안내표지판,영도구,,영선2동,영도구0822,영선동 윗로타리 주변,,10,,6,흰(미)색바탕 갈색(계열)글자,남항새싹길,1200,550,종교시설,허가
261,사설안내표지판,영도구,,청학2동,영도구0808,청학동 부산은행 건너편,,13,3,6,흰(미)색바탕 청색글자,"태종로, 대교로",1200,550,교육기관(학교 등),허가
262,사설안내표지판,연제구,,연산3동,연제구200945,연산3동 187540,,25,,5,흰(미)색바탕 갈색(계열)글자,"신암로, 동평로, 연산로",1100,900,종교시설,허가
263,사설안내표지판,연제구,,연산4동,###############################################################################################################################################################################################################################################################,연산4동 65526,,8,2,,기타,,1100,550,기타,허가
264,사설안내표지판,사상구,,주례3동,사상구200612,주례동 1164 (513번지 선도),,9,,,흰(미)색바탕 청색글자,동주길,1200,600,종교시설,허가
265,사설안내표지판,중구,,보수동,중구 201816,중구 보수동3가 7025,,25,0,0,기타,대청로,900,900,국가기관및기초자치단체(구군청),
266,사설안내표지판,영도구,,남항동,영도구0814,kt영도지점 앞 도로변,,13,4,6,흰(미)색바탕 갈색(계열)글자,풍발길,1200,550,종교시설,허가
267,사설안내표지판,영도구,,동삼1동,영도구0818,함지골 청소년 수련원 앞,,15,,6,흰(미)색바탕 검정(계열)글자,"절영로,태종로",1200,550,기타,허가
268,사설안내표지판,동래구,동래구,명장2동,동래구201120,안락1동 4198 나노닥트앞,안락로터리,17,4,,흰(미)색바탕 남색글자,반송로,1200,550,교육기관(학교 등),허가
269,사설안내표지판,부산진구,,전포1동,부산진구0739,전포1동 3373번지,부산진여중 어귀 삼거리,11,1,1,기타,동성로,990,990,국가기관및기초자치단체(구군청),허가
270,사설안내표지판,연제구,,거제2동,연제구2009140,거제2동 8949,,43,,5,흰(미)색바탕 청색글자,내부순환도로,1200,550,교육기관(학교 등),허가
271,사설안내표지판,연제구,,연산9동,###############################################################################################################################################################################################################################################################,연산9동 4795,,17,4,5,흰(미)색바탕 청색글자,과정로,1500,850,국가기관및기초자치단체(구군청),허가
272,사설안내표지판,연제구,,거제2동,###############################################################################################################################################################################################################################################################,거제2동 8973,,6,,5,흰(미)색바탕 청색글자,창신로,1200,650,교육기관(학교 등),허가
273,사설안내표지판,사상구,,괘법동,사상구200310,괘법동 5541번지 앞 도로,,,,3,기타,사상로,900,900,국가기관및기초자치단체(구군청),허가
274,사설안내표지판,사상구,,감전동,사상구20039,학장동 274번지 선도,,40,5,8,흰(미)색바탕 청색글자,가야로,1800,1000,의료시설,허가
