공간정보일련번호,지형지물부호,등록구,관리기관,행정동,허가번호,설치위치,방향,차도폭,길어깨(보도)의폭,높이,색상,도로구간번호,가로표지판규격,세로표지판규격,물건종류,허가구분
"1,314",사설안내표지판,수영구,수영구 도시국 도시관리과,민락동,수영구200819,수영구 민락동 14620 앞 가로등지주,감포로 방향,8,,5,흰(미)색바탕 남색글자,감포6길,1200,550,기타,허가
"1,315",사설안내표지판,수영구,수영구 도시국 도시관리과,광안4동,수영구200815,수영구 광안4동 122222,장대골도로에서 수영로방향,4,,3,기타,수영정1길,1500,800,기타,허가
"1,316",사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구200833,수영구 망미1동 83235 앞 가로등지주,수영교차로에서 망미교차로방면,25,,5,흰(미)색바탕 갈색(계열)글자,"신암로, 동평로, 연산로",1200,550,관광시설,허가
"1,338",사설안내표지판,수영구,수영구 도시국 도시관리과,광안3동,수영구20095,수영구 광안동 1071 천원상점 앞,연산로에서 수영로타리 방향,24,,5,흰(미)색바탕 청색글자,"신암로, 동평로, 연산로",1500,700,의료시설,허가
"1,339",사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구200910,수영구 망미1동 9608 망미주유소 앞 가로등지주,연산로 방향,25,,5,기타,"신암로, 동평로, 연산로",1200,550,의료시설,허가
"1,340",사설안내표지판,수영구,수영구 도시국 도시관리과,민락동,수영구200915,수영구 민락동 1671,광남로 방향,15,3,,기타,"광남로, 해운대해변로",1200,550,의료시설,허가
"1,341",사설안내표지판,부산진구,,부전2동,무허가,,,,,,,,,,,무허가
"1,342",사설안내표지판,부산진구,,부전1동,부산진구0920,서면 신동아오피스텔 앞,서면R 에서 지하철 부암역 방면 ,38,6,4,흰(미)색바탕 남색글자,가야로,1200,550,기타,허가
"1,343",사설안내표지판,부산진구,,부전2동,무허가,,,,,,,제2도시고속도로(동서고가로),,,,무허가
"1,344",사설안내표지판,부산진구,,전포3동,부산진구0931,행복한병원 부근,행복한병원에서 황령산 레포츠공원 방면,9,,3,흰(미)색바탕 갈색(계열)글자,진남로,1200,550,관광시설,허가
"1,345",사설안내표지판,동구,동구 도시국 도시안전과,범일5동,동구 200704,조선선재 진입도로 입구,,19,4,6,흰(미)색바탕 검정(계열)글자,5부두로,1200,900,기타,허가
"1,346",사설안내표지판,동구,동구 도시국 도시안전과,좌천동,동구 200802,좌천1동 동사무소 진입로 입구,,9,,7,흰(미)색바탕 청색글자,무지개1길,1100,550,교육기관(학교 등),허가
"1,347",사설안내표지판,부산진구,,초읍동,부산진구625,초읍동 2086번지,,17,4,,기타,성지로,1200,700,교육기관(학교 등),허가
"1,348",사설안내표지판,부산진구,,부암1동,부산진구0947,부암동 부암R 주변,부암R 에서 연지동 방면 ,16,,3,기타,"신암로, 동평로, 연산로",1000,1000,의료시설,허가
"1,349",사설안내표지판,부산진구,,양정2동,부산진구09121,양정1동 원보양행앞,양정R 에서 연제구청 방면,17,5,4,흰(미)색바탕 남색글자,"신암로, 동평로, 연산로",1500,850,기타,허가
"1,350",사설안내표지판,부산진구,,부전1동,부산진구09104,부전1동 흥아전자상가 앞,중앙로 흥아전자상가에서 서면R 방면,25,5,4,기타,"구덕로, 중앙로,금정로",1200,550,의료시설,허가
"1,351",사설안내표지판,부산진구,,당감1동,부산진구613,당감3동 487번지,,18,3,,흰(미)색바탕 청색글자,동평로,1200,800,교육기관(학교 등),허가
"1,352",사설안내표지판,부산진구,,당감1동,부산진구0993,당감3동 동서고가변,백양로에서 당감성당 방면,28,,3,흰(미)색바탕 갈색(계열)글자,벚꽃1로,1200,550,관광시설,허가
"1,353",사설안내표지판,부산진구,,개금3동,부산진구0994,개금3동 패밀리마트앞,백양로에서 LG아파트(1차) 방면,25,3,4,흰(미)색바탕 남색글자,제2도시고속도로(동서고가로),1200,850,기타,허가
"1,354",사설안내표지판,수영구,수영구 도시국 도시관리과,망미1동,수영구200933(시),수영구 망미동 80222 앞 가로등주,망미사거리 방향,25,2,5,흰(미)색바탕 갈색(계열)글자,"신암로, 동평로, 연산로",1200,550,관광시설,허가
"1,355",사설안내표지판,부산진구,,양정1동,부산진구09111,양정1동 국민부동산앞,중앙로 에서 하마정 방면,25,5,4,흰(미)색바탕 진황색(계열)글자,"구덕로, 중앙로,금정로",1200,550,종교시설,허가
"1,356",사설안내표지판,부산진구,,개금1동,부산진구0997,진사로151,67번 종점아래,10,,4,흰(미)색바탕 진황색(계열)글자,진사로,1200,1000,종교시설,허가
"1,357",사설안내표지판,부산진구,,개금2동,부산진구09110,개금1동 매직카센터앞,백병원아래 사거리에서 가야공원 방면,15,4,4,흰(미)색바탕 진황색(계열)글자,복지로,1200,850,종교시설,허가
"1,358",사설안내표지판,부산진구,,개금2동,부산진구0998,개금현대I아파트 정문앞,부산백병원 건너,15,3,,흰(미)색바탕 진황색(계열)글자,복지로,1200,1000,종교시설,허가
"1,359",사설안내표지판,부산진구,,당감1동,부산진구0999,당감1동 슈퍼24시앞,당감1동 치안센터 옆,35,5,4,흰(미)색바탕 갈색(계열)글자,백양로,1500,850,관광시설,허가
"1,360",사설안내표지판,수영구,,수영동,수영구200930(시),수영구 수영동 4448 앞 팔도시장지주통합설치,수영교차로방향,21,5,5,흰(미)색바탕 갈색(계열)글자,"수영로, 자성로",1200,550,관광시설,허가
"1,361",사설안내표지판,수영구,수영구 도시국 도시관리과,수영동,수영구200930,수영구 수영동 4509 강일주유소 앞 가로등주,망미사거리방향,24,,5,흰(미)색바탕 갈색(계열)글자,"신암로, 동평로, 연산로",1200,550,관광시설,허가
"1,362",사설안내표지판,부산진구,,전포1동,부산진구09101,전포동 지하철 출구옆,전포로에서 평화교회 방면,15,,4,흰(미)색바탕 갈색(계열)글자,"충장로, 전포로,거제로",1800,1020,관광시설,허가
"1,363",사설안내표지판,부산진구,,개금1동,부산진구09108,개금1동 벌집삼겹살옆,개금1동 가야로에서 백병원 방면,40,9,4,흰(미)색바탕 갈색(계열)글자,가야로,1500,850,관광시설,허가
"1,364",사설안내표지판,부산진구,,개금2동,부산진구0996,개금2동 현대I아파트214동 옆,진사로 현대I아파트 담벽옆,10,,4,흰(미)색바탕 진황색(계열)글자,진사로,12,10,종교시설,허가
"1,365",사설안내표지판,부산진구,,개금1동,부산진구0977,개금2동 백병원 아래 버스정류소 옆,복지1로에서 백병원 방면,18,2,,흰(미)색바탕 남색글자,복지로,1200,1200,기타,허가
"1,366",사설안내표지판,부산진구,,초읍동,부산진구09106,초읍동 왕뼈해장국앞,초읍동 새싹길에서 유치원 방면,9,3,4,흰(미)색바탕 남색글자,새싹길,1200,850,기타,허가
"1,367",사설안내표지판,부산진구,,개금1동,부산진구09109,개금1동 대성예식장앞,대성예식장에서 주례방면,14,5,4,흰(미)색바탕 갈색(계열)글자,엄광로,1500,850,관광시설,허가
"1,368",사설안내표지판,부산진구,,부전2동,부산진구09103,부전2동 지오날드앞,문화관광호텔 옆,18,,3,기타,녹색의거리,900,900,의료시설,허가
"1,369",사설안내표지판,부산진구,,당감1동,부산진구09100,동평로 안경나라앞,동평로 당감시장 입구,15,5,4,흰(미)색바탕 갈색(계열)글자,동평로,1500,850,관광시설,허가
"1,370",사설안내표지판,부산진구,,전포1동,부산진구09102,전포동 부산은행앞,전포동 부산은행 앞,15,,3,흰(미)색바탕 갈색(계열)글자,"충장로, 전포로,거제로",1800,1020,관광시설,허가
"1,371",사설안내표지판,부산진구,,부암1동,부산진구09130,부암1동 대한인력개발앞,진양램프 입구옆에서 부암감리교회 방면,10,,5,흰(미)색바탕 남색글자,백양로,1500,800,관광시설,허가
"1,372",사설안내표지판,부산진구,,당감1동,부산진구09131,당감1동 동서고가변 대양화학앞,당감1동 백양로에서 당감시장 방면,32,4,4,흰(미)색바탕 갈색(계열)글자,백양로,1200,550,관광시설,허가
"1,373",사설안내표지판,부산진구,,당감1동,부산진구09132,당감1동 수협 당감동지점앞,당감1동 동평로에서 당감시장 방면,15,5,4,흰(미)색바탕 갈색(계열)글자,동평로,1200,550,관광시설,허가
"1,374",사설안내표지판,부산진구,,개금3동,부산진구09133,개금3동 신개금LG아파트 정문옆,개금3동 신개금LG아파트 입구에서 교회 방면,28,3,4,기타,백양로,1300,900,관광시설,허가
"1,375",사설안내표지판,기장군,,,,,,,,,,,,,,
"1,376",사설안내표지판,기장군,,,,,,,,,,,,,,
"1,377",사설안내표지판,기장군,,,,,,,,,,,,,,
"1,378",사설안내표지판,서구,서구,암남동,,,,8,0,0,,동아대1길,,,,
"1,379",사설안내표지판,서구,서구,암남동,,,,0,0,0,,동아대1길,,,,
